FIPS,ST,State,County/City,"Trump
2020
Vote #","Total
2020
Votes","Trump
2020 %","Pop
2020
Official","2 doses
3/13/22","2 doses %
3/13/22","COVID
Deaths
5/01/21","COVID
Deaths
2/27/22","Deaths
since
5/01/21","Deaths/100K
since
5/01/21"
1001,AL,Alabama,Autauga,19838,27770,71.44,58805,24395,41.48,107,208,101,171.75
1003,AL,Alabama,Baldwin,83544,109679,76.17,231767,112300,48.45,306,662,356,153.6
1005,AL,Alabama,Barbour,5622,10518,53.45,25223,11070,43.89,56,94,38,150.66
1007,AL,Alabama,Bibb,7525,9595,78.43,22293,7728,34.67,63,100,37,165.97
1009,AL,Alabama,Blount,24711,27588,89.57,59134,18162,30.71,135,227,92,155.58
1011,AL,Alabama,Bullock,1146,4613,24.84,10357,5305,51.22,41,52,11,106.21
1013,AL,Alabama,Butler,5458,9488,57.53,19051,7613,39.96,69,124,55,288.7
1015,AL,Alabama,Calhoun,35101,50983,68.85,116441,52780,45.33,312,602,290,249.05
1017,AL,Alabama,Chambers,8753,15284,57.27,34772,10354,29.78,123,158,35,100.66
1019,AL,Alabama,Cherokee,10583,12301,86.03,24971,7964,31.89,45,81,36,144.17
1021,AL,Alabama,Chilton,16085,19310,83.30,45014,16016,35.58,111,197,86,191.05
1023,AL,Alabama,Choctaw,4296,7464,57.56,12665,8249,65.13,24,35,11,86.85
1025,AL,Alabama,Clarke,7324,13135,55.76,23087,11996,51.96,60,98,38,164.59
1027,AL,Alabama,Clay,5601,6930,80.82,14236,5480,38.49,56,80,24,168.59
1029,AL,Alabama,Cleburne,6484,7227,89.72,15056,4246,28.20,41,68,27,179.33
1031,AL,Alabama,Coffee,16899,22275,75.87,53465,24511,45.84,115,228,113,211.35
1033,AL,Alabama,Colbert,19203,27886,68.86,57227,26348,46.04,134,246,112,195.71
1035,AL,Alabama,Conecuh,3442,6441,53.44,11597,5230,45.10,28,69,41,353.54
1037,AL,Alabama,Coosa,3631,5479,66.27,10387,4296,41.36,28,56,28,269.57
1039,AL,Alabama,Covington,14586,17430,83.68,37570,14044,37.38,117,224,107,284.8
1041,AL,Alabama,Crenshaw,4864,6617,73.51,13194,4710,35.70,57,95,38,288.01
1043,AL,Alabama,Cullman,36880,41851,88.12,87866,31814,36.21,193,356,163,185.51
1045,AL,Alabama,Dale,14303,19738,72.46,49326,23322,47.28,111,224,113,229.09
1047,AL,Alabama,Dallas,5524,17864,30.92,38462,16693,43.40,150,236,86,223.6
1049,AL,Alabama,DeKalb,24767,29356,84.37,71608,23975,33.48,185,321,136,189.92
1051,AL,Alabama,Elmore,30164,41030,73.52,87977,37243,42.33,205,336,131,148.9
1053,AL,Alabama,Escambia,10869,15910,68.32,36757,13237,36.01,75,165,90,244.85
1055,AL,Alabama,Etowah,35528,47728,74.44,103436,41634,40.25,352,624,272,262.96
1057,AL,Alabama,Fayette,7300,8766,83.28,16321,5659,34.67,62,93,31,189.94
1059,AL,Alabama,Franklin,10376,12578,82.49,32113,13577,42.28,82,137,55,171.27
1061,AL,Alabama,Geneva,10848,12545,86.47,26659,10524,39.48,75,159,84,315.09
1063,AL,Alabama,Greene,875,4775,18.32,7730,4091,52.92,34,48,14,181.11
1065,AL,Alabama,Hale,3192,7900,40.41,14785,8927,60.38,76,102,26,175.85
1067,AL,Alabama,Henry,6607,9298,71.06,17146,7761,45.26,44,71,27,157.47
1069,AL,Alabama,Houston,32618,46173,70.64,107202,45368,42.32,280,488,208,194.03
1071,AL,Alabama,Jackson,19670,23636,83.22,52579,25228,47.98,110,231,121,230.13
1073,AL,Alabama,Jefferson,138843,325848,42.61,674721,378399,56.08,1516,2263,747,110.71
1075,AL,Alabama,Lamar,6174,7193,85.83,13972,6021,43.09,34,62,28,200.4
1077,AL,Alabama,Lauderdale,31721,44339,71.54,93564,42834,45.78,238,376,138,147.49
1079,AL,Alabama,Lawrence,12322,16031,76.86,33073,15428,46.65,98,153,55,166.3
1081,AL,Alabama,Lee,42221,71449,59.09,174241,65494,37.59,168,326,158,90.68
1083,AL,Alabama,Limestone,34640,49235,70.36,103570,38275,36.96,150,279,129,124.55
1085,AL,Alabama,Lowndes,1836,6835,26.86,10311,4906,47.58,53,75,22,213.36
1087,AL,Alabama,Macon,1541,8723,17.67,19532,8562,43.84,49,81,32,163.83
1089,AL,Alabama,Madison,102780,194767,52.77,388153,228159,58.78,501,917,416,107.17
1091,AL,Alabama,Marengo,5343,10900,49.02,19323,10205,52.81,64,104,40,207.01
1093,AL,Alabama,Marion,12205,13807,88.40,29341,10742,36.61,100,149,49,167
1095,AL,Alabama,Marshall,33191,39655,83.70,97612,43797,44.87,222,377,155,158.79
1097,AL,Alabama,Mobile,101243,183164,55.27,414809,203140,48.97,804,1602,798,192.38
1099,AL,Alabama,Monroe,6147,10668,57.62,19772,8977,45.40,40,78,38,192.19
1101,AL,Alabama,Montgomery,33311,99139,33.60,228954,116681,50.96,585,900,315,137.58
1103,AL,Alabama,Morgan,39664,53722,73.83,123421,51839,42.00,279,494,215,174.2
1105,AL,Alabama,Perry,1339,5230,25.60,8511,4300,50.52,26,43,17,199.74
1107,AL,Alabama,Pickens,5594,9668,57.86,19123,9746,50.96,59,99,40,209.17
1109,AL,Alabama,Pike,8042,13841,58.10,33009,13839,41.92,77,130,53,160.56
1111,AL,Alabama,Randolph,8559,10837,78.98,21967,7398,33.68,41,74,33,150.23
1113,AL,Alabama,Russell,9864,21329,46.25,59183,23465,39.65,38,84,46,77.73
1115,AL,Alabama,St. Clair,36166,44441,81.38,91103,34721,38.11,237,407,170,186.6
1117,AL,Alabama,Shelby,79700,114950,69.33,223024,78206,35.07,246,431,185,82.95
1119,AL,Alabama,Sumter,1598,6291,25.40,12345,6299,51.02,32,49,17,137.71
1121,AL,Alabama,Talladega,22235,35663,62.35,82149,29031,35.34,175,363,188,228.85
1123,AL,Alabama,Tallapoosa,14963,20991,71.28,41311,15442,37.38,150,227,77,186.39
1125,AL,Alabama,Tuscaloosa,51117,90172,56.69,227036,90705,39.95,451,744,293,129.05
1127,AL,Alabama,Walker,26002,31170,83.42,65342,29763,45.55,279,426,147,224.97
1129,AL,Alabama,Washington,6564,8876,73.95,15388,7459,48.47,39,58,19,123.47
1131,AL,Alabama,Wilcox,1833,5903,31.05,10600,5541,52.27,28,44,16,150.94
